Record Time,Distance (cm),Moving Average (cm)
2022-09-01 15:30:00,164221.360023312,164221.360023312
2022-09-01 19:30:00,164220.7663992057,164221.06321125885
2022-09-01 23:30:00,164213.64290992974,164218.5897774825
2022-09-02 03:30:00,164218.98552688668,164218.68871483352
2022-09-02 07:30:00,164221.80524139173,164219.31202014515
2022-09-02 11:30:00,164217.0562485411,164218.93605821114
2022-09-02 15:30:00,164214.5396959828,164218.30800646424
2022-09-02 19:30:00,164206.60339637034,164216.8449302025
2022-09-02 23:30:00,164202.58593720486,164215.26059764723
2022-09-03 03:30:00,164207.51854368605,164214.4863922511
2022-09-03 07:30:00,164211.09238597556,164214.17784622606
2022-09-03 11:30:00,164210.95586045252,164213.9093474116
2022-09-03 15:30:00,164211.5374362132,164213.72689270403
2022-09-03 19:30:00,164212.46829250647,164213.63699268992
2022-09-03 23:30:00,164213.73172279308,164213.64330803012
2022-09-04 07:30:00,164211.23685189695,164213.49290452182
2022-09-04 11:30:00,164214.44770899613,164213.54906949087
2022-09-04 19:30:00,164211.42053209236,164213.43081741317
2022-09-04 23:30:00,164199.88677215198,164212.71797292575
2022-09-05 03:30:00,164211.09513495286,164212.6368310271
2022-09-05 07:30:00,164212.04070655187,164212.60844414734
2022-09-05 11:30:00,164215.20513935457,164212.72647574768
2022-09-05 19:30:00,164208.14941818363,164212.52747324487
2022-09-06 03:30:00,164213.1327546426,164212.55269330312
2022-09-06 07:30:00,164206.00489669954,164212.29078143896
2022-09-06 11:30:00,164208.95101727184,164212.162328971
2022-09-06 15:30:00,164211.2966216359,164212.13026573637
2022-09-06 19:30:00,164207.73785391366,164211.97339388556
2022-09-06 23:30:00,164198.66600274364,164211.51451832894
2022-09-07 03:30:00,164206.2454464939,164211.3388826011
2022-09-07 07:30:00,164202.918436262,164211.06725529986
2022-09-07 19:30:00,164205.72784985593,164210.90039887972
2022-09-07 23:30:00,164205.34284147024,164210.73198804914
2022-09-08 03:30:00,164203.05310444688,164210.50613853143
2022-09-08 07:30:00,164211.09627798246,164210.5229996586
2022-09-08 15:30:00,164212.9631489969,164210.59078158464
2022-09-09 03:30:00,164211.24878450198,164210.60856544727
2022-09-10 07:30:00,164204.69309608912,164210.45289520102
2022-09-10 11:30:00,164197.8404104699,164210.12949815663
2022-09-10 15:30:00,164210.6938018765,164210.14360574962
2022-09-10 19:30:00,164206.53360908385,164210.05555705045
2022-09-12 03:30:00,164213.83351234297,164210.14550836693
2022-09-12 11:30:00,164209.86823170603,164210.13906007248
2022-09-13 19:30:00,164212.93295502337,164210.20255768503
2022-09-13 23:30:00,164212.54120031942,164210.25452752135
2022-09-14 03:30:00,164215.54020156385,164210.36943347877
2022-09-14 07:30:00,164213.51570747208,164210.43637547863
2022-09-14 15:30:00,164213.26271537488,164210.4952575598
2022-09-14 19:30:00,164211.83336784717,164210.52256593306
2022-09-14 23:30:00,164214.42534649797,164210.60062154435
2022-09-15 03:30:00,164212.9095341324,164210.64589434018
2022-09-15 11:30:00,164209.28950388197,164210.61980990827
2022-09-15 15:30:00,164207.4357914336,164210.55973408802
2022-09-15 23:30:00,164207.043756797,164210.49462339742
2022-09-16 03:30:00,164207.05193421242,164210.43202904862
2022-09-16 07:30:00,164211.486252857,164210.45085447378
2022-09-16 11:30:00,164206.8855740254,164210.38830569395
2022-09-16 15:30:00,164209.7460824205,164210.3772328789
2022-09-16 19:30:00,164215.33475361744,164210.46125865416
2022-09-16 23:30:00,164215.04343871935,164210.5376283219
2022-09-17 03:30:00,164212.47453104466,164210.56938082556
2022-09-17 07:30:00,164211.3635422128,164210.5821898802
2022-09-17 11:30:00,164209.39360687995,164210.56332348337
2022-09-17 19:30:00,164211.35564881403,164210.57570356666
2022-09-18 03:30:00,164214.91115400952,164210.64240280422
2022-09-18 07:30:00,164214.72023544228,164210.7041881472
2022-09-18 11:30:00,164212.47252073925,164210.730581171
2022-09-18 15:30:00,164213.29689962466,164210.76832114824
2022-09-18 19:30:00,164209.8103130106,164210.75443697235
2022-09-18 23:30:00,164208.36156802936,164210.7202531303
2022-09-19 03:30:00,164207.8433668355,164210.67973360504
2022-09-19 07:30:00,164213.50246732795,164210.71893824005
2022-09-19 11:30:00,164215.06612816828,164210.77848878704
2022-09-19 15:30:00,164214.41353295028,164210.82761100546
